fecha,ibex_close,tasa_desempleo,prima,pib_trim_per_capita
1996-01-19,3742.10009765625,20.4,351.0,3.1
1996-01-22,3733.5,20.4,353.0,3.1
1996-01-23,3710.800048828125,20.4,359.0,3.1
1996-01-24,3735.800048828125,20.4,355.0,3.1
1996-01-25,3753.0,20.4,359.0,3.1
1996-01-26,3720.699951171875,20.4,373.0,3.1
1996-01-29,3678.60009765625,20.4,374.0,3.1
1996-01-30,3707.10009765625,20.4,364.0,3.1
1996-01-31,3734.5,20.4,367.0,3.1
1996-02-01,3750.89990234375,20.3,364.0,3.1
1996-02-02,3727.39990234375,20.3,365.0,3.1
1996-02-05,3680.800048828125,20.3,369.0,3.1
